术语ID,术语名称(中文),术语名称(英文),术语别名,术语定义,确认状态,术语来源,使用情况,创建人,最后编辑人,最后编辑时间
rbTOxO,成品产出比,finish_goods_yield_rate,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rWDwLO,首次定价操作人ID,first_pricing_operator_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
raS7kH,首次定价操作人名称,first_pricing_operator_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rbDN8l,首次定价备注,first_pricing_remark,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rQoKT8,首次定价时间,first_pricing_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rtUUpU,首次汇款日期,first_remittance_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rIjGzv,是否开启冻结,is_enable_frozen,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rv4w7M,到期时间,expire_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rULvPG,运费日期,freight_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rfwNWD,频率,freq,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r0FjjG,冻结数量,frozen_quantity,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r77Okk,冻结时间,frozen_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rA9e4q,资金代理ID,fund_agent_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rrvTyE,资金代理名称,fund_agent_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r4pRbG,资金方ID,fund_org_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rcYsT8,120天资金周转率,fund_turnover_rate_120d,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rkhBDi,180天资金周转率,fund_turnover_rate_180d,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rER3gE,30天资金周转率,fund_turnover_rate_30d,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rPGjI5,360天资金周转率,fund_turnover_rate_360d,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rSUZsn,60天资金周转率,fund_turnover_rate_60d,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rjj8v0,90天资金周转率,fund_turnover_rate_90d,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rUApgB,商品交易总额,gmv,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rITeac,货物等级,goods_grade,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rb4inL,货物ID,goods_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
razq2O,在途货物,goods_in_transit,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
radZ2z,是否货物状态正常,is_goods_status_normal,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
ruyjVX,货源客户ID,goods_source_customer_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rZ6Yyf,货源客户类型,goods_source_customer_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rY2Irz,货源名称,goods_source_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r0x5HI,货物单位,goods_unit,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rwaWyt,宽展期截止时间,grace_period_end_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rwTMYp,毛重,gross_weight,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rp7aDw,毛重称重时间,gross_weight_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rzeHic,担保合同编号,guarantee_contract_no,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r0CqUU,保证人账号,guarantor_account_no,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rV2nLN,资金方分支机构名称,fund_branch_org_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rNLUeN,是否启用移动侦测,is_enable_motion_detection,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
ruodOf,出入库单标识,inbound_outbound_order_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rjzyvM,出入库类型,inbound_outbound_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r9mBmV,在库货值,inventory_goods_value,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r2PMQW,在库重量,inventory_weight,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rj2F53,在途金额,in_transit_amount,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rKEutg,在途天数,in_transit_days,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
ruVBTb,是否入库审批,is_inbound_approve,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rFqtUJ,入库日期,inbound_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rBDKDG,入库订单明细标识,inbound_order_detail_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rVMgM5,入库订单标识,inbound_order_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r4eYRJ,入库订单标识集合,inbound_order_ids,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rz26hi,入库计划编号,inbound_plan_no,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rAU3ba,入库单价,inbound_unit_price,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rdZ4tk,入库次数,inbound_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rhR6Ir,入库仓库标识,inbound_warehouse_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rXQ7qO,入库仓库名称,inbound_warehouse_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rNn2GJ,询价单ID,inquiry_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r43PFR,询价单数量,inquiry_order_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rxQf0Y,询价单过期小时数,inquiry_order_expire_hours,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r40HP6,企业名称,company_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rQHRIR,企业拼音,company_pinyin,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rkvWLb,内部计数,internal_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rhJTDH,内部锁定件数,internal_locked_piece_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rzdXDq,内部锁定数量,internal_locked_quantity,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
ro2S4y,内网播放地址,internal_playback_url,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r8SAxO,失效原因,invalid_reason,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rA9ULy,失效方式,invalid_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rYLKHr,库存,inventory,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rf3fT7,盘点人ID,inventory_checker_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rPVWtS,盘点人姓名,inventory_checker_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rzMuEN,盘库数量,inventory_check_quantity,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rVGHJh,盘库次数,inventory_check_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rSXler,库存ID,inventory_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rElyeA,库存标识集合,inventory_ids,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rEZp0r,库存件数,inventory_piece_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r9KG6y,盘库计划ID,inventory_check_plan_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rjflO7,120天库存周转率,inventory_turnover_rate_120d,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
riutZC,180天库存周转率,inventory_turnover_rate_180d,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rJsxUQ,30天库存周转率,inventory_turnover_rate_30d,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r36iyk,360天库存周转率,inventory_turnover_rate_360d,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rwPDYK,60天库存周转率,inventory_turnover_rate_60d,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rru3kg,90天库存周转率,inventory_turnover_rate_90d,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rvqdPy,发票申请ID,invoice_apply_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rHRJ7y,铁矿石消耗量,ironstone_consume_quantity,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rewgv5,铁矿石入库量,ironstone_inbound_quantity,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rUb9P8,铁矿石库存量,ironstone_inventory_quantity,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r7I8NH,是否停用,is_block,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rFGWDQ,是否签约,is_sign,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rW7B4j,是否生成日报,is_generate_daily_report,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rWiLzl,是否设防,is_defence,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rb20dw,是否删除,is_delete,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rHKU7F,是否启用设备,is_enable_device,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rrgXoq,是否加密,is_encrypt,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rBqQ3W,是否启用,is_enable,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rUZyiw,是否忽略,is_ignore,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r9pM9l,是否参与计算,is_calculate,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rsrR0Z,是否启用库位管理,is_enable_location_manage,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rvHHSz,是否在线,is_online,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rv8Tv9,是否机构,is_org,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rElsHF,是否巡库,is_patrol,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rOwIlw,是否抵质押,is_pledge,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rvIQUX,是否牧场仓库,is_ranch_warehouse,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
re0Tp4,是否实名认证,is_real_name_auth,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rvrpHd,录像开关,is_record,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rbSu0h,是否标品,is_standard_product,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rC210l,是否初始化协议条款,is_initial_term_agreement,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rLf9Uy,是否已浏览,is_viewed,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r5RthS,是否计重,is_weighting,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rl0u4D,上次查询起始时间,last_inquiry_start_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rV0OHF,最近还款日期,last_repay_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rvPBEN,最晚送货日期,latest_delivery_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rknkLq,法人证件号码,legal_rep_id_no,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rLemhg,法人证件类型,legal_rep_id_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r0UvzU,挂单ID,list_order_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r5xObf,挂单记录数量,list_order_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rpyNVF,装卸方式,load_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rgBiMR,贷款金额调整,loan_amount_adjust,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rZQI6s,贷款申请单编码,loan_apply_code,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rvKgK7,贷款控制比率,loan_control_ratio,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rEYl1g,贷款到期日期,loan_end_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
reYKSK,放款计划流水号,disbursement_plan_sn,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rybOgU,贷款用途,loan_purpose,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rPjJit,贷/还款时间,loan_repay_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rZLu4o,贷/还款类型名称,loan_repay_type_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rOMgK3,贷款起期,loan_start_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rOnoWD,锁定数量,locked_quantity,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rz0g2m,登录客户数,login_customer_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rHuBBc,标识,logo,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r9oAnS,管理方客户ID,manage_customer_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r5NG1j,管理机构ID,manage_org_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
ribxKV,生产商,producer,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rkrfoW,生产商ID,producer_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rhrxbc,保证金比例,margin_ratio,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r2WJTv,市场ID,market_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rSoVYk,市场ID列表,market_ids,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
ruEFOk,市场标识图片,market_logo,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rjOjHC,市场客户关联关系ID,market_customer_relate_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rdJNuN,市场角色,market_role,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rrX6Fv,市场价值,market_value,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r9Ji2v,物料协议总数,material_agreement_total_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rcBwmc,最大在库天数,max_inventory_days,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r76GDx,客户卡号,customer_card_no,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rPaMll,客户公司标识,customer_company_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r6qPJU,客户资产池余额,customer_asset_pool_balance,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rc4pnb,客户资产池融资余额,customer_asset_pool_financing_balance,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rzyqL5,客户类型名称,customer_type_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rsJZ4D,消息发送时间,message_send_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rqFNSJ,最小天数,min_days,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rwNTY0,最小控货价值,min_control_goods_value,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rZoX5c,模式,mode,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rloWQL,监控来源,monitor_source,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rMiTte,月均贷款余额,monthly_avg_loan_balance,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rLcAQW,月还款金额,monthly_repay_amount,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rbAZBT,移动侦测截止时间,motion_detection_end_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rgyZM4,移动侦测消息发送时间,motion_detection_msg_send_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rkjdAu,移动侦测开始时间,motion_detection_start_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rdecqt,是否支持负库存,is_support_negative_inventory,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rrRmI2,净重,net_weight,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rc1vmk,新协议标识ID,new_agreement_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rEf0EE,新增个人客户,new_individual_customer,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r0Dw7D,线下贷款余额,offline_loan_balance,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rg6zfW,线下贷款ID,offline_loan_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rZCKuP,线下还款提醒开关,offline_reminder_enabled,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rmVldU,是否离线提醒,is_offline_alert,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rZXxyc,现场评级类型ID,on_site_rating_type_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
ruoapj,现场评级类型名称,on_site_rating_type_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rFcXWn,操作人ID,operator_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rYMPX7,操作人姓名,operator_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rCbTTz,运营机构标识,operator_org_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r5IorP,运营机构名称,operator_org_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rpuKVh,运营端url地址,operate_url,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r9ssuH,订单基础ID,order_base_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rQheUo,订单合同ID,order_contract_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rSnW3b,订单合同状态,order_contract_status,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r5rEMP,订单结束日期,order_end_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rEByha,订单过期小时数,order_expire_hours,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rG7jLG,订单已入库货值,order_inbound_goods_value,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rLtKPd,订单已入库数量,order_inbound_quantity,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rbWtC4,订单贷款余额,order_loan_balance,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r61bee,订单锁定件数,order_locked_piece_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rOYife,订单锁定数量,order_locked_quantity,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rAJgUM,订单开始日期,order_start_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rXoXgI,订单类型ID,order_type_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rInlKk,订单类型名称,order_type_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rRkmIl,订单类型状态,order_type_status,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rkwE5I,机构ID,org_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rKXadQ,原车牌号,orig_plate_no,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rS8xfi,是否出库审批,is_outbound_approve,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
raQaHc,出库次数,outbound_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r1W1It,出库明细ID,outbound_detail_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r9QcdE,出库误差范围,outbound_error_range,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
risJo9,出库货值,outbound_goods_value,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rMXOfZ,出库单ID,outbound_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rkJuTi,出库单ID集合,outbound_ids,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rEblU5,出库价格,outbound_price,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rQZczo,所有者ID,owner_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rps8FX,所有者客户ID,owner_customer_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rVy3QX,所有者客户性质,owner_customer_nature,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rjyXi8,所有者客户类型,owner_customer_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rCMaiu,所有者名称,owner_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rJhST3,所有者统一社会信用代码,owner_unified_social_credit_code,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rfnC4l,包装名称,package_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rN5X6k,包装使用数量,package_usage_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rYzmUv,是否使用托盘,is_pallet,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rrV1Cb,父级品类ID,parent_category_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rGKyku,上级区域ID,parent_region_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rWaPtS,父级ID,parent_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r8oZVb,父级名称,parent_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rUBDty,园区进场登记单号,park_entry_reg_no,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r4Tm69,参与方ID,participant_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rp6HEa,巡库次数限制,patrol_limit_count,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
ruUfQ4,巡库位置,patrol_location,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r2S6AJ,巡库操作员ID,patrol_operator_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r3QRwZ,巡库操作员名称,patrol_operator_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rVc21O,巡库备注,patrol_remark,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rCfnbu,巡库状态,patrol_status,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r3YnvN,巡库时间,patrol_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
ry2Nhv,巡库类型,patrol_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rLCDv3,应付金额,payable_amount,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rIoE8o,应付资产,payable_assets,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rfJpSv,应付账单ID,payable_bill_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r6JCcN,应付结算金额,payable_settlement_amount,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rz0qX9,收款方代理ID,payee_agent_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
ranhWm,收款方客户类型,payee_customer_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rV50G1,收款方客户ID,payee_customer_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rRmqq7,付款方代理机构ID,payer_agent_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rpkmdB,付款银行行号,payer_bank_no,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rEptOK,付款银行名称,payer_bank_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rds20I,付款方客户ID,payer_customer_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r4bmYF,付款方客户类型,payer_customer_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rUh6wF,PC端表单地址,pc_form_url,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r2HV8e,PC端视频地址,pc_video_url,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rR87mP,付款账户名称,pay_account_name,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rV2aEr,付款账号,pay_account_no,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rfPuwZ,付款金额,pay_amount,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rNyFRr,付款单ID,pay_bill_no,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rNa2Nl,付款日期,pay_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rCMvge,支付截止时间,pay_end_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rbq081,支付过期小时数,pay_expire_hours,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rQ45Xp,支付限额,pay_limit,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rh4cfc,付款方式,pay_method,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rn6FT4,付款方式描述,pay_method_desc,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rAUnC0,付款方式ID,pay_method_id,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rKW3lA,支付方式ID集合,pay_method_ids,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rjW9Uf,支付密码,pay_password,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r1pYbE,付款二维码,pay_qr_code,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rekqbe,支付签约拒绝备注,pay_sign_reject_remark,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r3FrUI,支付签约状态,pay_sign_status,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rR1giy,支付来源类型,pay_source_type,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
r0D2zp,支付发起时间,pay_start_time,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rUjf5L,账期截止日期,pay_term_end_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rwAFMc,账期开始日期,pay_term_start_date,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
rgGatg,付款账期天数,pay_term_days,,,待确认,数仓ETL,,兰恩来,兰恩来,2026年3月24日
